"","deg_full_in","deg_full_out","deg_advice_in","deg_advice_out","deg_friendship_in","deg_friendship_out","deg_reports_to_in","deg_reports_to_out","reach_full_in_vec","reach_full_out_vec","reach_advice_in_vec","reach_advice_out_vec","reach_friendship_in_vec","reach_friendship_out_vec","reach_reports_to_in_vec","reach_reports_to_out_vec","sp_full_in_vec","sp_full_out_vec","sp_advice_in_vec","sp_advice_out_vec","sp_friendship_in_vec","sp_friendship_out_vec","sp_reports_to_in_vec","sp_reports_to_out_vec"
"1",15,7,13,6,8,5,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.19047619047619,1.57142857142857,1.42857142857143,1.61904761904762,Inf,2.28571428571429,Inf,Inf
"2",19,5,18,3,10,3,3,1,1,1,1,1,0.904761904761905,1,0.190476190476190,0.0952380952380952,1,1.66666666666667,1.04761904761905,2.14285714285714,Inf,2.38095238095238,Inf,Inf
"3",7,16,5,15,5,2,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.57142857142857,1.14285714285714,1.71428571428571,1.19047619047619,Inf,2.33333333333333,Inf,Inf
"4",10,12,8,12,5,6,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.42857142857143,1.33333333333333,1.52380952380952,1.33333333333333,Inf,1.66666666666667,Inf,Inf
"5",7,16,5,15,6,7,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.57142857142857,1.14285714285714,1.90476190476190,1.19047619047619,Inf,1.57142857142857,Inf,Inf
"6",11,6,10,1,2,6,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.38095238095238,1.66666666666667,1.42857142857143,2.28571428571429,Inf,1.66666666666667,Inf,Inf
"7",14,8,13,8,3,0,4,0,1,1,1,1,0.952380952380952,0.0476190476190476,1,0.0476190476190476,1.23809523809524,1.52380952380952,1.28571428571429,1.52380952380952,Inf,Inf,1.71428571428571,Inf
"8",12,8,10,8,5,1,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.33333333333333,1.52380952380952,1.42857142857143,1.52380952380952,Inf,2.57142857142857,Inf,Inf
"9",9,13,4,13,6,0,0,1,1,1,1,1,0.952380952380952,0.0476190476190476,0.0476190476190476,0.142857142857143,1.47619047619048,1.28571428571429,1.95238095238095,1.28571428571429,Inf,Inf,Inf,Inf
"10",10,16,9,14,1,7,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.42857142857143,1.14285714285714,1.66666666666667,1.23809523809524,Inf,1.76190476190476,Inf,Inf
"11",13,14,11,3,6,13,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.28571428571429,1.23809523809524,1.42857142857143,2.14285714285714,Inf,1.28571428571429,Inf,Inf
"12",13,5,7,2,8,4,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.28571428571429,1.71428571428571,1.61904761904762,2.19047619047619,Inf,1.76190476190476,Inf,Inf
"13",5,7,4,6,1,2,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.76190476190476,1.57142857142857,1.95238095238095,1.61904761904762,Inf,2.04761904761905,Inf,Inf
"14",11,5,10,4,5,2,7,1,1,1,1,1,0.904761904761905,1,0.380952380952381,0.0952380952380952,1.38095238095238,1.66666666666667,1.42857142857143,1.71428571428571,Inf,2.38095238095238,Inf,Inf
"15",7,20,4,20,4,8,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.57142857142857,0.952380952380952,1.95238095238095,0.952380952380952,Inf,1.57142857142857,Inf,Inf
"16",9,4,8,4,4,2,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.47619047619048,1.71428571428571,1.66666666666667,1.76190476190476,Inf,3.04761904761905,Inf,Inf
"17",12,18,9,5,6,18,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.33333333333333,1.04761904761905,1.47619047619048,1.90476190476190,Inf,1.04761904761905,Inf,Inf
"18",17,17,15,17,4,1,2,1,1,1,1,1,0.904761904761905,1,0.142857142857143,0.0952380952380952,1.09523809523810,1.09523809523810,1.19047619047619,1.09523809523810,Inf,3.28571428571429,Inf,Inf
"19",7,12,4,11,5,9,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.57142857142857,1.33333333333333,1.95238095238095,1.38095238095238,Inf,1.52380952380952,Inf,Inf
"20",9,12,8,12,3,2,0,1,1,1,1,1,0.904761904761905,1,0.0476190476190476,0.142857142857143,1.47619047619048,1.33333333333333,1.57142857142857,1.33333333333333,Inf,2.09523809523810,Inf,Inf
"21",15,11,15,11,5,4,4,1,1,1,1,1,0.904761904761905,1,0.238095238095238,0.0952380952380952,1.19047619047619,1.38095238095238,1.19047619047619,1.38095238095238,Inf,1.76190476190476,Inf,Inf
